Street,Area,City,Price,Alicuota,sqms,sqm_cov,Rooms,Toilets,Garages,Url,PricePerSqm,lat,lng
juan Montalvo 500 quito 170902,Cumbayá,Quito,800,['182'],150,['125'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/arriendo-departamento-2-dorm.-junto-colegio-menor-57988610.html,5.333333333333333,-0.1991596,-78.4279329
republica del salvador y checoslovaquia,Centro Norte,Quito,650,['0'],75,['75'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/2-dorm-amoblado-republica-de-el-salvador-$650-57718761.html,8.666666666666666,-0.1816018,-78.48028
Av. 6 de diciembre y Calle El Jarín,Centro Norte,Quito,850,['0'],80,['80'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/vendo-departamento-amoblado-a-1-cuadra-quicentro-58010355.html,10.625,-0.1802842,-78.47858509999999
alonso de torres y carvajal esquina,El Bosque ,Quito,675,['0'],110,['83'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/hermoso-departamento-2-habitaciones-83-m-sup2--precio-57858823.html,6.136363636363637,-0.161632,-78.4964962
Catalina Aldaz y Portugal,Norte de Quito,Quito,1250,['0'],105,['105'],['3'],['2'],['0'],https://www.plusvalia.com/propiedades/en-renta-departamento-tres-dorm.-semiamoblado-57804015.html,11.904761904761905,-0.1820592,-78.4771389
,Cumbayá,Quito,670,['30'],400,['195'],['4'],['4'],['2'],https://www.plusvalia.com/propiedades/departamento-de-arriendo-en-cumbaya-57923018.html,1.675,-0.2107252,-78.44108949999999
SAN IGNACIO Y SAN JAVIER,Centro Norte,Quito,500,['130'],110,['94'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/en-quito-arriendo-excelente-apartamento-moderno-en-57809307.html,4.545454545454546,-0.2008848,-78.4845027
EDIFICIO METROPOLIS,Monteserrín,Quito,700,['92'],108,['108'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/rento-departamento-2-dorm.-con-balcon-lomas-de-58009391.html,6.481481481481482,-0.1806532,-78.4678382
,González Suárez,Quito,1300,['300'],241,['210'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/re-max-platinum-renta-dorm.-3-dorm-en-gonzalez-suarez-57747931.html,5.394190871369295,-0.197548,-78.4801671
Av. Real Audiencia 107,Ponceano,Quito,450,['0'],180,['150'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/departamento-3-dorm.-ponceano-alto-57848550.html,2.5,-0.09979579999999999,-78.4820823
